transaction_id,customer_id,date,time,description,payee,amount,channel
TXN0058,CUST003,2023-10-14,10:30:00,Ride share,Ola Cabs,12.00,UPI
TXN0059,CUST003,2023-10-18,16:45:00,Department store,Lifestyle Stores,120.00,CARD
TXN0060,CUST003,2023-10-22,12:00:00,Snack delivery,Swiggy,15.00,UPI
TXN0061,CUST003,2023-10-26,17:40:00,Medicine,PharmEasy,32.00,UPI
TXN0062,CUST003,2023-10-30,14:15:00,Water purifier service,Urban Company,45.00,UPI
TXN0063,CUST003,2023-11-03,18:20:00,Weekly provisions,Blinkit,42.00,UPI
TXN0064,CUST003,2023-11-07,11:40:00,Coffee with friend,Blue Tokai Coffee,9.50,UPI
TXN0065,CUST003,2023-11-11,13:10:00,Takeaway lunch,Subway,11.00,CARD
TXN0066,CUST003,2023-11-15,19:50:00,Clothing purchase,Zara,135.00,CARD
TXN0067,CUST003,2023-11-19,10:15:00,Fuel,Bharat Petroleum,35.00,CARD
TXN0068,CUST003,2023-11-23,16:30:00,Monthly broadband,ACT Fibernet,30.00,NET_BANKING
TXN0069,CUST003,2023-11-27,14:00:00,Online shopping,Myntra,68.00,CARD
TXN0070,CUST003,2023-12-01,17:35:00,Weekly groceries,Blinkit,45.00,UPI
TXN0071,CUST003,2023-12-05,12:45:00,Lunch order,Swiggy,18.00,UPI
TXN0072,CUST003,2023-12-09,18:15:00,Household cleaning,Urban Company,50.00,UPI
TXN0073,CUST003,2023-12-13,11:20:00,Bakery treats,Theobroma Bakery,22.00,CARD
TXN0074,CUST003,2023-12-17,15:40:00,Fuel refill,Bharat Petroleum,38.00,CARD
TXN0075,CUST003,2023-12-22,19:00:00,Holiday gifts,Amazon India,85.00,UPI
TXN0076,CUST003,2023-12-27,13:20:00,Family lunch,Barbeque Nation,92.00,CARD
TXN0077,CUST003,2023-12-31,16:10:00,Party supplies,Blinkit,54.00,UPI
TXN0078,CUST003,2024-01-04,10:50:00,Coffee shop,Blue Tokai Coffee,5.00,UPI
TXN0079,CUST003,2024-01-08,17:15:00,Weekly groceries,Blinkit,41.00,UPI
TXN0080,CUST003,2024-01-11,14:30:00,Fuel,Bharat Petroleum,36.00,CARD
TXN0081,CUST003,2024-01-12,10:05:00,Fund transfer 1,QuickRemit Solutions,2800.00,IMPS
TXN0082,CUST003,2024-01-12,10:28:00,Fund transfer 2,QuickRemit Solutions,3200.00,IMPS
TXN0083,CUST003,2024-01-12,10:52:00,Fund transfer 3,QuickRemit Solutions,2950.00,IMPS
TXN0084,CUST003,2024-01-12,11:25:00,Fund transfer 4,QuickRemit Solutions,3100.00,IMPS
TXN0085,CUST004,2023-10-02,08:45:00,Breakfast cafe,Chaayos,8.50,UPI
TXN0086,CUST004,2023-10-05,13:15:00,Business lunch,Punjab Grill,65.00,CARD
TXN0087,CUST004,2023-10-09,18:20:00,Supermarket,Spencers Supermarket,72.00,CARD
TXN0088,CUST004,2023-10-13,11:00:00,Airport taxi,Uber,35.00,UPI
TXN0089,CUST004,2023-10-17,15:40:00,Stationery order,Amazon India,24.00,UPI
TXN0090,CUST004,2023-10-21,19:10:00,Dinner with client,Mainland China,95.00,CARD
TXN0091,CUST004,2023-10-25,10:30:00,Fuel,Hindustan Petroleum,45.00,CARD
TXN0092,CUST004,2023-10-29,16:00:00,Fitness membership,Cult Fit,80.00,NET_BANKING
TXN0093,CUST004,2023-11-02,09:10:00,Coffee and bakery,Chaayos,10.00,UPI
TXN0094,CUST004,2023-11-06,14:25:00,Quick lunch,Subway,12.50,CARD
TXN0095,CUST004,2023-11-10,18:50:00,Provisions,Spencers Supermarket,68.00,CARD
TXN0096,CUST004,2023-11-14,12:00:00,Mobile bill,Vodafone Idea,30.00,NET_BANKING
TXN0097,CUST004,2023-11-18,17:30:00,Apparel store,Marks and Spencer,145.00,CARD
TXN0098,CUST004,2023-11-22,11:45:00,Office supplies,Amazon India,40.00,UPI
TXN0099,CUST004,2023-11-26,19:30:00,Weekend dining,Punjab Grill,88.00,CARD
TXN0100,CUST004,2023-11-30,13:20:00,Fuel refill,Hindustan Petroleum,48.00,CARD
TXN0101,CUST004,2023-12-04,09:00:00,Morning tea,Chaayos,7.00,UPI
TXN0102,CUST004,2023-12-08,16:40:00,Household groceries,Spencers Supermarket,76.00,CARD
TXN0103,CUST004,2023-12-12,14:10:00,Lunch takeout,Zomato,19.00,UPI
TXN0104,CUST004,2023-12-16,18:15:00,Electronics gift,Croma Electronics,110.00,CARD
TXN0105,CUST004,2023-12-20,11:30:00,Car wash,Speed Car Wash,25.00,UPI
TXN0106,CUST004,2023-12-24,20:00:00,Holiday dining,Mainland China,105.00,CARD
TXN0107,CUST004,2023-12-29,15:10:00,Groceries,Spencers Supermarket,62.00,CARD
TXN0108,CUST004,2024-01-03,08:50:00,Breakfast,Chaayos,9.00,UPI
TXN0109,CUST004,2024-01-07,17:20:00,Fuel,Hindustan Petroleum,46.00,CARD
TXN0110,CUST004,2024-01-11,13:00:00,Business lunch,Punjab Grill,70.00,CARD
TXN0111,CUST004,2024-01-13,02:45:00,External Wire Transfer 1,Overseas Exchange Hub,4200.00,NET_BANKING
TXN0112,CUST004,2024-01-13,03:15:00,External Wire Transfer 2,Overseas Exchange Hub,3800.00,NET_BANKING
TXN0113,CUST005,2023-10-01,10:15:00,Groceries,D-Mart Superstore,45.00,UPI
TXN0114,CUST005,2023-10-04,13:00:00,Lunch,Swiggy,16.00,UPI
TXN0115,CUST005,2023-10-07,17:30:00,Pharmacy,Apollo Pharmacy,22.00,UPI
TXN0116,CUST005,2023-10-11,11:20:00,Coffee shop,Starbucks,6.00,CARD
TXN0117,CUST005,2023-10-15,19:00:00,Dinner,Zomato,24.00,UPI
TXN0118,CUST005,2023-10-19,14:40:00,Fuel,Indian Oil,40.00,CARD
TXN0119,CUST005,2023-10-23,16:15:00,Utility bill,State Electricity Board,52.00,NET_BANKING
TXN0120,CUST005,2023-10-27,12:30:00,Book purchase,Amazon India,28.00,UPI
TXN0121,CUST005,2023-10-31,18:45:00,Groceries,D-Mart Superstore,65.00,UPI
TXN0122,CUST005,2023-11-04,10:50:00,Metro card recharge,City Metro Rail,20.00,NET_BANKING
TXN0123,CUST005,2023-11-08,14:10:00,Lunch takeout,FreshMenu,14.50,UPI
TXN0124,CUST005,2023-11-12,17:20:00,Fuel refill,Indian Oil,42.00,CARD
TXN0125,CUST005,2023-11-16,19:30:00,Movie tickets,PVR Cinemas,26.00,UPI
TXN0126,CUST005,2023-11-20,11:15:00,Mobile bill,Airtel Postpaid,25.00,NET_BANKING
TXN0127,CUST005,2023-11-24,16:00:00,Pharmacy medicine,Apollo Pharmacy,30.00,UPI
TXN0128,CUST005,2023-11-28,18:10:00,Groceries restock,D-Mart Superstore,58.00,UPI
TXN0129,CUST005,2023-12-02,13:45:00,Lunch,Swiggy,18.00,UPI
TXN0130,CUST005,2023-12-06,10:30:00,Coffee shop,Starbucks,6.50,CARD
TXN0131,CUST005,2023-12-10,17:00:00,Fuel,Indian Oil,45.00,CARD
TXN0132,CUST005,2023-12-14,19:15:00,Dinner,Zomato,32.00,UPI
TXN0133,CUST005,2023-12-18,12:00:00,Shopping,Amazon India,48.00,UPI
TXN0134,CUST005,2023-12-22,18:30:00,Holiday treats,Theobroma Bakery,25.00,CARD
TXN0135,CUST005,2023-12-26,15:20:00,Groceries,D-Mart Superstore,70.00,UPI
TXN0136,CUST005,2023-12-30,11:00:00,Car wash,Speed Car Wash,20.00,UPI
TXN0137,CUST005,2024-01-03,14:30:00,Lunch with friend,FreshMenu,15.00,UPI
TXN0138,CUST005,2024-01-07,17:50:00,Fuel refill,Indian Oil,44.00,CARD
TXN0139,CUST005,2024-01-11,12:15:00,Groceries,D-Mart Superstore,52.00,UPI
TXN0140,CUST005,2024-01-14,03:10:00,Payee Verification Test,Veloce Digital Vault,1.00,IMPS
TXN0141,CUST005,2024-01-14,03:22:00,Immediate Payment 1,Veloce Digital Vault,4500.00,IMPS
TXN0142,CUST005,2024-01-14,03:35:00,Immediate Payment 2,Veloce Digital Vault,4800.00,IMPS
TXN0143,CUST005,2024-01-14,03:48:00,Immediate Payment 3,Veloce Digital Vault,5000.00,IMPS
TXN0144,CUST005,2024-01-14,04:02:00,Immediate Payment 4,Veloce Digital Vault,4900.00,IMPS
TXN0145,CUST006,2023-10-02,10:30:00,Organic food store,Nature Basket,55.00,UPI
TXN0146,CUST006,2023-10-05,14:00:00,Lunch meeting,Olive Bistro,45.00,CARD
TXN0147,CUST006,2023-10-09,18:15:00,Fuel,Shell Petrol Station,50.00,CARD
TXN0148,CUST006,2023-10-13,12:10:00,Past festival gift purchase,Tanishq Jewellers,950.00,CARD
TXN0149,CUST006,2023-10-17,16:45:00,Home decor,FabIndia,85.00,CARD
TXN0150,CUST006,2023-10-21,11:00:00,Online pharmacy,PharmEasy,35.00,UPI
TXN0151,CUST006,2023-10-25,19:20:00,Family dinner,Mainland China,78.00,CARD
TXN0152,CUST006,2023-10-29,15:30:00,Weekly groceries,Nature Basket,62.00,UPI
TXN0153,CUST006,2023-11-02,09:45:00,Artisanal coffee,Blue Tokai Coffee,8.00,UPI
TXN0154,CUST006,2023-11-06,13:15:00,Lunch delivery,Swiggy,22.00,UPI
TXN0155,CUST006,2023-11-10,17:50:00,Fuel refill,Shell Petrol Station,52.00,CARD
TXN0156,CUST006,2023-11-14,11:30:00,Broadband and OTT,Tata Play Fiber,40.00,NET_BANKING
TXN0157,CUST006,2023-11-18,18:40:00,Clothing apparel,Zara,180.00,CARD
TXN0158,CUST006,2023-11-22,14:00:00,Supermarket,Nature Basket,58.00,UPI
TXN0159,CUST006,2023-11-26,16:20:00,Gourmet chocolates,Smoor Chocolates,32.00,CARD
TXN0160,CUST006,2023-11-30,12:00:00,Household electronics,Croma Electronics,140.00,CARD
TXN0161,CUST006,2023-12-04,10:15:00,Coffee and snack,Blue Tokai Coffee,11.00,UPI
TXN0162,CUST006,2023-12-08,17:30:00,Fuel,Shell Petrol Station,54.00,CARD
TXN0163,CUST006,2023-12-12,13:50:00,Boutique clothing,FabIndia,120.00,CARD
TXN0164,CUST006,2023-12-16,19:00:00,Dinner,Olive Bistro,68.00,CARD
TXN0165,CUST006,2023-12-20,15:10:00,Gift shopping,Amazon India,92.00,UPI
TXN0166,CUST006,2023-12-24,11:45:00,Gourmet bakery,Theobroma Bakery,45.00,CARD
TXN0167,CUST006,2023-12-28,18:20:00,Provisions,Nature Basket,75.00,UPI
TXN0168,CUST006,2024-01-02,10:00:00,New year breakfast,Blue Tokai Coffee,14.00,UPI
TXN0169,CUST006,2024-01-06,14:40:00,Fuel refill,Shell Petrol Station,55.00,CARD
TXN0170,CUST006,2024-01-10,16:30:00,Festive Gold Jewellery Gift,Tanishq Jewellers,3200.00,CARD
TXN0171,CUST006,2024-01-12,12:15:00,Routine grocery,Nature Basket,48.00,UPI
TXN0172,CUST006,2024-01-14,15:00:00,Weekend dining,Olive Bistro,52.00,CARD
